index	label	network_label	atlas_name
1	Left-Lateral-Ventricle	Subcortex	FreeSurferASEG
2	Left-Inf-Lat-Vent	Subcortex	FreeSurferASEG
3	Left-Cerebellum-White-Matter	Subcortex	FreeSurferASEG
4	Left-Cerebellum-Cortex	Subcortex	FreeSurferASEG
5	Left-Thalamus-Proper	Subcortex	FreeSurferASEG
6	Left-Caudate	Subcortex	FreeSurferASEG
7	Left-Putamen	Subcortex	FreeSurferASEG
8	Left-Pallidum	Subcortex	FreeSurferASEG
9	Brain-Stem	Subcortex	FreeSurferASEG
10	Left-Hippocampus	Subcortex	FreeSurferASEG
11	Left-Amygdala	Subcortex	FreeSurferASEG
12	Left-Accumbens-area	Subcortex	FreeSurferASEG
13	Left-VentralDC	Subcortex	FreeSurferASEG
14	Right-Lateral-Ventricle	Subcortex	FreeSurferASEG
15	Right-Inf-Lat-Vent	Subcortex	FreeSurferASEG
16	Right-Cerebellum-White-Matter	Subcortex	FreeSurferASEG
17	Right-Cerebellum-Cortex	Subcortex	FreeSurferASEG
18	Right-Thalamus-Proper	Subcortex	FreeSurferASEG
19	Right-Caudate	Subcortex	FreeSurferASEG
20	Right-Putamen	Subcortex	FreeSurferASEG
21	Right-Pallidum	Subcortex	FreeSurferASEG
22	Right-Hippocampus	Subcortex	FreeSurferASEG
23	Right-Amygdala	Subcortex	FreeSurferASEG
24	Right-Accumbens-area	Subcortex	FreeSurferASEG
25	Right-VentralDC	Subcortex	FreeSurferASEG
26	WM-hypointensities	Subcortex	FreeSurferASEG
27	non-WM-hypointensities	Subcortex	FreeSurferASEG
28	Optic-Chiasm	Subcortex	FreeSurferASEG
29	CC_Posterior	Subcortex	FreeSurferASEG
30	CC_Mid_Posterior	Subcortex	FreeSurferASEG
31	CC_Central	Subcortex	FreeSurferASEG
32	CC_Mid_Anterior	Subcortex	FreeSurferASEG
33	CC_Anterior	Subcortex	FreeSurferASEG
